,rfc,logit,gbc,keras_ann,sk_ann
Loan_SubGrade:G1,0.30340659181993174,0.0,0.015052750702708971,0.01865609157590535,1.0753052310209408
Loan_SubGrade:G2,0.0016314617490732217,0.0,0.0,0.0,0.12104442558039519
Loan_SubGrade:G3,0.0,0.0,0.0,0.0,0.0
Loan_SubGrade:G4,0.0,0.0,0.0,0.01682999303547198,0.018738055076952254
Loan_SubGrade:G5,0.0,0.0,0.00762055836229086,0.004526211960965143,0.009653013997664477
Employment_Length:1 year,1.4004273847066033,0.3728559136540658,2.400105904915272,0.3763731426011445,4.83426317484409
Employment_Length:10+ years,2.3377906451488832,2.0034938750069,1.8812971893781842,1.7244422497833414,7.009133007329662
Employment_Length:2 years,1.4185064578579434,0.4290157825854687,2.5379361434828662,0.521857973797867,6.132961085967959
Employment_Length:3 years,1.065595620815481,0.6432077460530226,0.6852069273852661,0.2836061092418058,2.5986062659949862
Employment_Length:4 years,0.7187275937155889,1.339373402464591,1.0280883825944669,0.34231547204645585,2.0059346495324024
Employment_Length:5 years,1.0720027717996252,0.4675120286335348,0.4796115618330222,0.24149906991278583,1.5589426612015096
Employment_Length:6 years,1.7451431269219886,0.24544700861743884,5.63190816509666,0.20032158976094389,2.1337332458816713
Employment_Length:7 years,0.5169483346093146,0.2805748534862264,0.3558071885726658,0.24122991139721198,0.8340002797341526
Employment_Length:8 years,0.8120648854319954,0.7020054489566331,0.32807458447128623,0.124010841114079,1.1010419971137282
Employment_Length:9 years,0.3011998542470644,0.10124989933396113,0.3482308921908608,0.07636899888915975,0.5641691470767379
Employment_Length:< 1 year,4.871922711457584,0.4387194119988917,1.0883721017322003,0.8035463996328526,10.506606064986018
Employment_Length:unknown,4.823117874059748,3.6200240412079143,14.110658648834827,0.4937549743841702,3.6693905770470923
Home_Ownership:ANY,0.0033665582158541457,0.07745916337776566,0.5273555518847419,0.009934236885079738,0.06130195049140568
Home_Ownership:MORTGAGE,13.082952822293192,24.91796967912426,1.4132362946973192,1.9227117576341184,16.382515225703
Home_Ownership:OWN,2.38192115016834,10.100196565029453,6.021108422139355,0.7098818260348243,4.535194097248155
Home_Ownership:RENT,5.277433660928959,37.38353957689188,1.6555388084675722,2.463483586588314,13.19233577468976
Loan_Title:Business,0.2331125276081759,0.23498720808911538,0.7573621487615193,0.13451994592486496,0.3663509214416735
Loan_Title:Car financing,0.23905007227548264,0.21345142496434114,2.4095134209789553,0.04765890125519806,0.9199525531963884
Loan_Title:Credit card refinancing,18.440749189919647,0.8268120714895666,1.979679995676604,1.4294839997677893,23.95983263051832
Loan_Title:Debt consolidation,7.161114942378529,1.975122195295485,2.375038271406837,3.0222589173993,20.52814857141425
Loan_Title:Green loan,0.0,0.0,0.015217925516527167,0.0,0.0
Loan_Title:Home buying,0.3602130971895371,0.03416676361004711,0.26508517446726904,0.09755888856213615,1.2415936513869281
Loan_Title:Home improvement,1.0157252596437698,2.077632461585501,10.54596226630127,0.5920286362817339,5.768009093937562
Loan_Title:Major purchase,0.6093397932521094,0.6842472996244164,1.6925414171463526,0.21809499263899362,2.8991794101199706
Loan_Title:Medical expenses,0.5942791484972652,1.1371978282337614,1.0019149369002307,0.14564207766979614,6.615941174419358
Loan_Title:Moving and relocation,0.575219022806407,0.6468826045372373,1.0588809781693271,0.015195753475209597,1.4662286434540934
Loan_Title:Other,4.745829886838079,0.27620055374811553,0.507693890361013,0.43807888030439407,3.5398459994135223
Loan_Title:Vacation,0.15700336063777617,0.1300498321266996,0.7549341468401181,0.0037392625936068513,0.1182443329729756
loan_amnt,118.76614100548444,10.510672040170238,69.4067537570677,282.8792760880115,322.77522056135683
int_rate,203.01200945730258,1578.749968982854,1141.1579490814302,36.786254525942276,201.74193251273513
installment,144.35382346979833,4.7249706253164065,279.53453233163447,517.7866475177702,566.0175249032554
annual_inc,45.15123190496965,5.041499729337422,102.8700962022671,97.47606441319552,275.83822520882416
inq_last_6mths,8.148723414110078,1.7014186812581196,14.470841575165228,2.241169314945384,23.002560605872713
revol_bal,26.665330551788603,5.448903622126184,53.92323567448735,56.66726627332268,138.28696985179647
total_pymnt,762.3059968292781,120.25330002054064,717.3838776681894,1577.4744651322485,1510.9131412760626
total_rec_late_fee,53.005613809945686,26.723218875787133,24.39770423594231,12.297427426705374,87.00312581196998
last_pymnt_amnt,227.0945409017223,41.7354654861265,544.028600026141,574.9446769364049,1205.7719329039812
acc_open_past_24mths,44.96531988514491,6.7972525545342375,51.58419804837701,14.618025502519028,106.3861658759052
delinq_amnt,0.0,0.05374040418438619,0.052941924786522945,0.04912259149793203,0.3228006453796156
tax_liens,0.00224717890190927,0.0,0.010758895653901757,0.008004413150820427,0.17896116926867925
tot_hi_cred_lim,24.498149083451306,4.828003254142903,81.05426677086311,176.1317653455805,526.8878261401558
total_bal_ex_mort,31.322333723075133,5.6556725166915855,95.71866643884937,121.55487206317605,299.829886417026
total_bc_limit,46.268223618549435,4.60984575803514,44.164458272730826,73.3460745200582,329.04780144399865
total_il_high_credit_limit,20.824999593562065,11.142905176784152,89.55822217611811,122.62786672480742,403.0352882132906
